Name,soma_x,soma_y,soma_z,branches_count,type,radius,Soma_region,projected_x,projected_y,projected_z,in_brain,in_brain_numeric,input_synapses,output_synapses
720575940616180546,851.85325,326.61294,146.61882999999995,2,Bipolar,1.221,LA_R,851.85325,326.61294,146.61882999999995,Yes,1,0.0,70.0
720575940635413655,103.12696,396.06894,163.52172,2,Bipolar,2.235,LA_L,103.12696,396.06894,163.52172,Yes,1,0.0,26.0
720575940625745907,788.4472,329.2744,118.22862,2,Bipolar,1.112,ME_R,787.2329301452637,328.5956060202104,120.07481095136907,No,0,27.0,140.0
720575940612875738,809.99825,297.59078000000005,80.092484,2,Bipolar,1.36,LA_R,809.99825,297.59078000000005,80.092484,Yes,1,0.0,48.0
720575940646307574,581.53744,334.4131,147.33973,2,Bipolar,0.96,GNG,581.53744,334.4131,147.33973,Yes,1,0.0,309.0
720575940622980890,188.16211,349.43222,132.36908,2,Bipolar,1.687,LA_L,188.16211,349.43222,132.36908,Yes,1,0.0,49.0
720575940625090377,162.27914,206.73562,191.7778,2,Bipolar,1.117,LA_L,162.27914,206.73562,191.7778,Yes,1,0.0,15.0
720575940640185934,131.40017,399.9795,151.75556,2,Bipolar,1.997,LA_L,131.40017,399.9795,151.75556,Yes,1,0.0,10.0
720575940618168281,236.98027,197.04216,154.92534,2,Bipolar,1.722,LA_L,236.98027,197.04216,154.92534,Yes,1,0.0,12.0
720575940623513368,131.32661,291.29506,187.29142,2,Bipolar,2.006,LA_L,131.32661,291.29506,187.29142,Yes,1,0.0,13.0
720575940622320048,851.8312,266.06662,186.27366,2,Bipolar,1.382,ME_R,847.5802723545482,266.2018365146054,187.05523590809813,No,0,6.0,0.0
720575940636324856,212.90422,210.89628,206.2546,2,Bipolar,0.962,ME_L,212.90422,210.89628,206.2546,Yes,1,5.0,0.0
720575940615149566,841.6981,375.99088,144.13853,2,Bipolar,1.498,LA_R,841.6981,375.99088,144.13853,Yes,1,0.0,80.0
720575940613666666,561.0219000000001,281.90366,23.844557,2,Bipolar,1.085,AL_R,561.3328400572121,280.1848083958383,24.433029282556543,No,0,32.0,95.0
720575940626258532,614.0330600000001,280.71978,98.99557,2,Bipolar,0.991,SAD,614.0330600000001,280.71978,98.99557,Yes,1,6.0,0.0
720575940625362020,597.85794,236.7015,3.145579,2,Bipolar,1.013,AL_R,597.85794,236.7015,3.145579,Yes,1,5.0,44.0
720575940625959727,212.3145,304.39175,130.41929,2,Bipolar,1.099,LA_L,212.3145,304.39175,130.41929,Yes,1,0.0,5.0
720575940621429382,213.829,260.24595,136.37702,2,Bipolar,1.49,LA_L,213.829,260.24595,136.37702,Yes,1,5.0,5.0
720575940631966159,848.7593,248.91542,121.609836,2,Bipolar,1.626,LA_R,848.7593,248.91542,121.609836,Yes,1,0.0,22.0
720575940635773082,165.95201999999998,431.43094,142.41428,2,Bipolar,1.785,LA_L,165.95201999999998,431.43094,142.41428,Yes,1,0.0,22.0
