,AL_L,AL_R,AME_L,AMMC_L,AMMC_R,AOTU_L,AOTU_R,ATL_L,ATL_R,AVLP_L,AVLP_R,CRE_L,CRE_R,EB,FB,FLA_L,FLA_R,GNG,IB_L,IB_R,ICL_L,ICL_R,IPS_L,IPS_R,LAL_L,LAL_R,LA_L,LA_R,LH_L,LH_R,LOP_L,LOP_R,LO_L,LO_R,MB_CA_L,MB_CA_R,MB_ML_L,MB_ML_R,MB_VL_L,MB_VL_R,ME_L,ME_R,NO,OCG,PB,PLP_L,PLP_R,PRW,PVLP_L,PVLP_R,SAD,SCL_L,SCL_R,SIP_L,SIP_R,SLP_L,SLP_R,SMP_L,SMP_R,SPS_L,SPS_R,VES_L,VES_R,WED_L,WED_R
AL_L,3.9641716088525407,3.881813710089957,3.3122564574181768,4.412124513425415,4.416477457694534,3.6249611636217436,3.615820973429351,3.299733050308686,3.2938230554851056,3.5556226713360766,3.5534402832075336,3.1665213069275757,3.2297233972047614,3.181635576542379,3.300347915170072,3.302882660950307,3.3409124061191595,3.7690793933790996,3.3053181404368144,3.3504168425907848,3.2500467329583125,3.2427662647945588,3.2915978445692917,3.3211953858336902,3.2752638126688,3.3105463127674795,5.452370982448763,5.374530373523189,3.389832448176271,3.448167016765134,3.718322133026892,3.7071088933033303,3.740705516851489,3.7141542321300443,3.0017840156252613,2.9852723207365206,3.1088664691547074,3.290268642819284,3.239485557396479,3.3815245105227505,3.7892315803116405,3.7417663581736753,3.4512969108293423,5.397467270110216,3.579063870260185,3.234854452511957,3.2179057091525274,3.4977524333319083,3.49462520811093,3.5236597008258026,3.7311536556586575,3.1614435989645178,3.223881694687887,3.1044292349288622,3.1406764911501,3.2007998646088125,3.281185448760647,3.170230997910806,3.17783964044473,3.291763120191227,3.3094545815809466,3.427433194342625,3.471090831594389,3.521521769448981,3.360192547280853
AL_R,3.881813710089957,3.7915789161257236,3.2185610191601546,4.337251008131705,4.346409602651921,3.529209155150672,3.5188784132225748,3.219380773735864,3.217865468737862,3.4851026667275953,3.484715197102583,3.085266700864878,3.1557787119673577,3.080813778782258,3.225835119668084,3.2018001625794956,3.2461685259646265,3.703913265696521,3.224737022236905,3.2762549534677565,3.176174707483338,3.1690174774772912,3.211704751519658,3.242023201823256,3.1948419698682717,3.2304527955829068,5.381706435544832,5.301944311368456,3.316737808624131,3.383072718490107,3.6457064108216146,3.635954738141428,3.6570688295713176,3.6342022423502076,2.878937390766468,2.860322971389793,2.9907649953469044,3.1770443385001257,3.137700939756391,3.274040986142756,3.700932625152648,3.652448169090321,3.349341917152804,5.321829958042217,3.5067676157625476,3.14882868786937,3.1314997895386574,3.422604583373166,3.4168827826250383,3.4461558684325544,3.6573326065574845,3.0752406382817243,3.14578570239818,3.0135713215959825,3.052274695084504,3.1189873046234364,3.2077141392983406,3.081770875650074,3.090440801983996,3.2124732206506166,3.2305808472655477,3.3607367923473035,3.404482725158134,3.45108468451609,3.283876284214902
AME_L,3.3122564574181768,3.2185610191601546,1.6733009010851527,3.0572336627442076,3.100870270941765,1.7795849926040523,1.7771760739233144,1.8338546721432731,1.733809615384017,1.9969386099705762,2.0374167394923632,1.5555488696631345,1.6340757070652994,1.4641462825295355,1.6637359040267758,2.038057189553032,2.124913461158122,2.3804934071988924,1.5949706476577143,1.6559134745281912,1.7117738353865666,1.7312574709881483,1.817003396608247,1.8749614413781186,1.596087308910077,1.646986074650157,3.860890499792619,3.7731920269131773,1.7461035711004402,1.8316710828844789,1.724224691766423,1.7323806922205705,1.7717657802670965,1.7621352904763692,1.8345431744054839,2.0388315828225076,2.1653270974627183,2.5634784091191216,2.076354459864691,2.6931288089088334,1.8710166086075113,1.8428542920850925,1.6366960977396987,3.6369574941417953,1.6284484137407584,1.7024478482540917,1.6980365884980673,2.162327213138865,1.7603732425693615,1.7909448910878383,2.328011870718982,1.7041642227129234,1.7927231769310135,1.4815004541635275,1.5537947291363206,1.6271916654821303,1.707920138095751,1.6182535509179097,1.6252298629208237,1.6499733970889712,1.6745793539359464,1.7521464161379505,1.94890337573987,1.9573658622413637,1.9397055944691337
AMMC_L,4.412124513425415,4.337251008131705,3.0572336627442076,3.376821044534741,3.483463937073917,3.0523169150529643,3.0529402729441872,3.4146519363118566,3.292780059016565,3.386550402841468,3.429271954919858,3.1737370559869995,3.2280716658382653,3.0265504651770545,3.214464206873615,3.435065755351569,3.4975477262195294,3.4978750733295763,3.107217181928013,3.1690188068274128,3.2794217066320415,3.3018243888644854,3.3383588091846854,3.3668702625682183,3.1359003585509746,3.1640128317849143,3.6020193077886256,3.595039478321613,3.2468595738102866,3.3141256919998803,3.05855682010035,3.0836419996822957,3.0373196488816623,3.058319548937617,3.391661032730683,3.607528419298004,3.7140763707153206,4.053782420753037,3.572749179450044,4.155955432437854,3.052796866638068,3.0621011444239477,2.975223451304912,3.6548875657831426,3.0449588234511316,3.2375446826445398,3.2421817273534814,3.4737818152017614,3.1685288722408833,3.169947076014075,3.387226930871329,3.2941911333140164,3.3664857766109084,3.1148369023098526,3.1600594092898544,3.212536394550909,3.255917233526014,3.2015192996699353,3.2063120317728484,3.181267988973542,3.1938341712445357,3.225039339451167,3.35007634787525,3.336534931745498,3.417659252425474
AMMC_R,4.416477457694534,4.346409602651921,3.100870270941765,3.483463937073917,3.554344971970185,3.128218758372111,3.128607702587635,3.4253483175467814,3.303351553314983,3.4054688534249395,3.442717167650482,3.1862064242723243,3.2321106747477066,3.0748878491388862,3.222876927249834,3.4818896247980144,3.5357589354616072,3.510874170084794,3.1318156214391806,3.183764527633432,3.285496691685659,3.30661790344807,3.3517588555186038,3.3791832856104813,3.156744498167253,3.184380535807614,3.7649620588309003,3.757333839379679,3.261276167834482,3.3180440183350433,3.0871165917022445,3.108166715509187,3.0902055809335733,3.1027532463329037,3.4569788862565334,3.6632019086608776,3.7407606009905128,4.06156171072587,3.594226336642755,4.1554572092602875,3.122731492177655,3.1307647253071234,3.055847533265648,3.8132174454803285,3.0691796772879965,3.2658151071853805,3.2692895867319596,3.485987575774502,3.20126490808052,3.204685332100353,3.4212248118007795,3.31233484848108,3.3731799273962135,3.140370624752011,3.183481307956612,3.2281083879855554,3.2640597461566503,3.2260305805703506,3.229649995756886,3.199307661172606,3.2117486400450366,3.230604582008339,3.3552539030387445,3.3522725830825206,3.4274523116029103
AOTU_L,3.6249611636217436,3.529209155150672,1.7795849926040523,3.0523169150529643,3.128218758372111,1.1744634470857969,1.1552832356425344,2.1604661468942266,2.0155465087873785,2.1610713567290665,2.2429256816641336,1.8427283005433557,1.951050593756323,1.4432876456640917,1.883646633101517,2.1570236716442555,2.246343480150972,2.6168389127813776,1.6564773559596002,1.7800651835520944,2.0112710778444733,2.0435542972610374,2.0916379277424544,2.142186961679517,1.7455708193557926,1.786542882784189,3.4836479164695513,3.356554337272444,1.9234791517946002,2.0645655854583858,1.4342789233486177,1.493352088465785,1.1877284169582154,1.2883758485929624,1.9433003898728034,2.2844415495146873,2.450220773386484,2.909679145379446,2.3507712808620207,3.0873916341590006,1.2209063769067485,1.217658318269995,1.0954844920993398,3.1390182369949677,1.4925903056303944,1.8722640258599674,1.8901909050085743,2.440127294045848,1.665021857694197,1.6449344199218194,2.4978915428124115,1.9949603626653714,2.1291700762190082,1.7101886253241776,1.7905353454485207,1.8759664753306222,1.9681870093590834,1.8366341766612777,1.8514660694169591,1.814923911862866,1.82436924450923,1.9694961166620497,2.223048214535893,2.153110861478732,2.222032396705065
AOTU_R,3.615820973429351,3.5188784132225748,1.7771760739233144,3.0529402729441872,3.128607702587635,1.1552832356425344,1.1307176569249109,2.1697442543139744,2.0260311139880507,2.1698798976215503,2.2530577917614183,1.8532859392292387,1.965091325536826,1.436673889005724,1.892823349487832,2.1465256405174764,2.237314326366993,2.6254018450923824,1.6590835225203424,1.786477744634505,2.0231769910839406,2.0551466924505664,2.0993050154134805,2.149556859670636,1.7516332728221813,1.791632730427719,3.4857157068604647,3.3574872475936206,1.9328410459377474,2.0785351686389633,1.4298138138993235,1.4905967384448144,1.1695728748678913,1.2739132528708674,1.9253791135135176,2.2668973096643046,2.4339144820388094,2.895183270712557,2.3431585188345223,3.0759048411641405,1.2009741290043505,1.1977780237760003,1.069917405402412,3.140667180382636,1.4929919235407472,1.8756171942985809,1.8943285260710976,2.4455472989298745,1.6629022199855268,1.6411612202380796,2.5024071126946916,2.0010186714288936,2.139213773924537,1.7165865782413432,1.796793640186647,1.8843750178187029,1.9792846783152138,1.840574302681406,1.8562413893191048,1.8208277708421448,1.8294453053095017,1.9833509048859845,2.235512573565194,2.1627686308826943,2.2307757629713914
ATL_L,3.299733050308686,3.219380773735864,1.8338546721432731,3.4146519363118566,3.4253483175467814,2.1604661468942266,2.1697442543139744,1.5752481848214623,1.479754136731574,1.8175178694602712,1.8214440757403807,1.3379411427399155,1.3561146872923693,1.5754010633544266,1.4803151956909968,2.1187832428384246,2.1474747999503525,2.2908557622391785,1.51938253912132,1.5177824810616785,1.4375850840962885,1.4505606763511718,1.6206426782505676,1.6871044865879186,1.490252042907824,1.5481372113965324,4.545504886918192,4.438537262097109,1.5654035514256952,1.5604409226171339,1.9384365398723111,1.9080682734095546,2.14614861809782,2.0585070201411315,1.9638057780870286,2.1186477514461037,2.167278174795868,2.4763157049936715,2.0248361600213127,2.552327281654671,2.3026231087475715,2.2527915240711733,2.0153749549261226,4.3113539772956555,1.7121189901648943,1.6076745718063135,1.5821804196730611,2.036171475547598,1.7600063297534556,1.8117424275555125,2.3342202150657254,1.5221188028309092,1.5233431819457688,1.34875605490975,1.4050104225828903,1.4424331996631232,1.464828843393508,1.4992653667298699,1.495665895304151,1.5237661822033532,1.5528476074497815,1.544709134961321,1.7412947331441335,1.7790682878186865,1.7102379101805445
ATL_R,3.2938230554851056,3.217865468737862,1.733809615384017,3.292780059016565,3.303351553314983,2.0155465087873785,2.0260311139880507,1.479754136731574,1.3232161160502285,1.655702722529975,1.6632687474920642,1.2121589323256015,1.2175647141185166,1.466950108454523,1.3394801047342475,2.0631374656498567,2.0783776496947532,2.150883565241363,1.3693740122206717,1.3603274388958624,1.296101340941455,1.312901738169667,1.5017893707132361,1.5678405418019705,1.3527286324416266,1.4095416351649732,4.383251848418028,4.277208784167986,1.4094189953633829,1.3893854638987118,1.747239806415703,1.7172942906525948,1.9702511498771151,1.8781237038988772,1.9482893065787172,2.137308201450472,2.164783492009934,2.4867375236910667,1.9698044410868427,2.5573326150828253,2.1381892912959786,2.0927367124150384,1.879367572340034,4.136008542494026,1.5289322588934866,1.4916014969599145,1.4676247824295774,1.9244570022803085,1.592346911361166,1.64174426137054,2.2066646588193275,1.4193245768530676,1.4040182774853027,1.2371004917144932,1.2931794642647703,1.3178484536137405,1.3195666645591497,1.392097411165808,1.3866935135560756,1.3880668181384794,1.4144202270554338,1.378212523798138,1.5948003352048759,1.6188989977593928,1.5844143067992462
AVLP_L,3.5556226713360766,3.4851026667275953,1.9969386099705762,3.386550402841468,3.4054688534249395,2.1610713567290665,2.1698798976215503,1.8175178694602712,1.655702722529975,1.8903322993264406,1.9089468997862464,1.5606473462605088,1.5584480089610657,1.7547677649337654,1.6350492343065306,2.352442240387591,2.356752935645899,2.366365083877059,1.642872425678903,1.630754069608117,1.626136952058372,1.6479176506926052,1.8193712971051428,1.875644489238543,1.640906526660794,1.6908621649559454,4.336919362183174,4.237580877627795,1.6708665428903675,1.6471305268928316,1.8680761659387584,1.8439707650301949,2.075211362908096,1.9935131004406326,2.266950737089056,2.4761631966522226,2.494666969230173,2.811004634293279,2.263444416592954,2.8767006705117475,2.2373905867246706,2.200490308719716,2.0357335524343343,4.097788322733492,1.6933340021122205,1.7853080135581962,1.7682575523874309,2.1976408786929786,1.794565611163101,1.834967606033724,2.4245637681968053,1.7556847625890282,1.7441045878853354,1.5901325039326542,1.6393060592217201,1.6450079671777962,1.630335654719166,1.7169975507434851,1.710304001985369,1.6774965200302048,1.6979782683162539,1.6406798435866485,1.8648455042626677,1.8573769857395939,1.8837196119127664
