,AL_L,AL_R,AME_L,AMMC_L,AMMC_R,AOTU_L,AOTU_R,ATL_L,ATL_R,AVLP_L,AVLP_R,CRE_L,CRE_R,EB,FB,FLA_L,FLA_R,GNG,IB_L,IB_R,ICL_L,ICL_R,IPS_L,IPS_R,LAL_L,LAL_R,LA_L,LA_R,LH_L,LH_R,LOP_L,LOP_R,LO_L,LO_R,MB_CA_L,MB_CA_R,MB_ML_L,MB_ML_R,MB_VL_L,MB_VL_R,ME_L,ME_R,NO,OCG,PB,PLP_L,PLP_R,PRW,PVLP_L,PVLP_R,SAD,SCL_L,SCL_R,SIP_L,SIP_R,SLP_L,SLP_R,SMP_L,SMP_R,SPS_L,SPS_R,VES_L,VES_R,WED_L,WED_R
AL_L,2.4969508742439945,2.4499913521714882,2.333171876832121,2.508714173605402,2.528579846770201,2.441336518601424,2.436930712733963,2.3806843138847147,2.3524235245110257,2.597825623992695,2.4746090568552157,2.3408032963545455,2.3498341499638573,2.370484107581078,2.3738439257349477,2.339856589494787,2.2587641302308428,2.445516354627789,2.3897396726265803,2.396767950539141,2.3324263268617296,2.320278495751592,2.35453408238698,2.334038712756861,2.3799382589263702,2.3874648149741855,2.4369168564568358,2.4754081904444285,2.4007900972634237,2.4038976207524128,2.521633178745632,2.521221429614135,2.4955900849952575,2.496181484177901,2.1342931712656976,2.06766249704116,2.1086108124428464,2.087787978337231,2.222149321852179,2.106986179628097,2.4761468900224797,2.4609371671196745,2.406189985061034,2.4755597135412644,2.5069378168718224,2.3326813103197606,2.3218847569505128,2.3577409181552196,2.425619435184674,2.420246733272538,2.4484299637711655,2.292358388235465,2.2954058391900505,2.3261485058246087,2.3226268322385546,2.332309797746395,2.3503726760907613,2.322270368151986,2.322181811909683,2.3779410974124398,2.3720436936810674,2.416091397425577,2.3910758791575923,2.3929547715276045,2.331874858859651
AL_R,2.4499913521714882,2.406311347725524,2.226869139472347,2.4318695670924586,2.4532849761504707,2.3097874371150944,2.3059021454354363,2.2838023160657714,2.2482849086091647,2.5007320681363168,2.3737275892016014,2.233072480923275,2.240646423962882,2.2596964418157572,2.2613059959573536,2.250091003384628,2.1647674338819898,2.3537420798330553,2.2740267701345473,2.280002787144525,2.2236472586025773,2.212178775885019,2.253564093562995,2.232444328313911,2.2667808839619226,2.276196221150386,2.3402808562863857,2.3786539653942107,2.2900967411590436,2.291936165013854,2.3884496355829428,2.3896003938621693,2.35819629609934,2.361151752571275,2.0366461439006542,1.9791920373362282,2.031827520400715,2.0283687698021997,2.136755550378953,2.0543972857704236,2.340247941077721,2.3247223078630594,2.277910948891443,2.3647347826333336,2.3794559776262814,2.2234327616530916,2.213196979711475,2.2657086388304974,2.305622607136527,2.2981731514440615,2.35767970806224,2.187952790060061,2.1914291567879016,2.219383069273955,2.216717078369,2.223832383310002,2.239746686035683,2.215848622292618,2.215724524659021,2.2667882380030564,2.260128219956412,2.3017229925059226,2.2843274809135803,2.2881169495095794,2.231413597822708
AME_L,2.333171876832121,2.226869139472347,0.9761240463563007,1.8391993533382105,1.9330440399588233,0.8106654663706703,0.8114102978977922,1.3568487492460177,0.9702202340507197,1.4926304595516806,1.3588706042551766,0.8823520002830935,0.9062947227820937,0.833176777214785,0.9243866698181533,1.4802474506943486,1.3315638609803038,1.5728758555129836,0.846155833062028,0.8692304489478718,0.9064947711009498,0.9112406981237825,1.149106713491159,1.1473895301341905,0.9036151479074449,0.9557908452955568,1.5700108221026687,1.610558778407964,0.9648136509195028,0.9621122286163012,0.8750067162165688,0.9025677865010607,0.8142031030555652,0.8365874358101473,0.9667185692058543,1.120694783558682,1.183487556342939,1.3883292211961347,1.0443433667399362,1.4380529914733144,0.8824760533613494,0.8329841502484541,0.7243547992407456,1.398275339716447,0.873231313980436,0.9366035476263257,0.9067006056497919,1.3931451349975057,0.8692750457667674,0.8688787178946358,1.5945635957220656,0.9349739870605839,0.9818398327867087,0.8548083163942993,0.8960026674147272,0.9086079097743567,0.9073250008473499,0.9328677731040995,0.9240691458139021,0.9443781333334416,0.9214408818946798,0.9826028819326899,1.216169948806823,1.0574062619296143,1.1039736671478535
AMMC_L,2.508714173605402,2.4318695670924586,1.8391993533382105,1.935150706735044,1.9556737173052514,1.8764788083904822,1.8820068462902633,2.1890424822621304,2.0445616336734687,2.232582979434609,2.149026060470298,2.0249907952949617,2.0337356374043574,1.9632127710003335,2.0290091882305554,2.0460050909237424,2.012118210638124,2.0330023988282155,2.0026798816011198,2.0171965300781074,2.02946921153788,2.024799254209406,2.0537673938028034,2.0514899405218694,2.0198533201478006,2.0189978604797996,1.6843671320878022,1.714110875957714,2.046715695198253,2.056173846796891,1.9306421872902513,1.9498570845366594,1.884762478172303,1.915232055071767,1.9235459403076454,1.933285459831395,1.9540721939865562,2.022342261884311,1.917216137548159,2.0391430820412797,1.8562577444908064,1.8651056192770623,1.9071797071686785,1.5673280625310095,1.9866844549253255,2.003732439983546,1.9999749308604644,2.0017731839703723,1.9972987947301406,1.9874955040811688,2.0175952190113478,2.0051715810914836,2.030542996443757,2.011723491652662,2.0123642374126,2.0239824501072534,2.030518364338675,2.007788913509216,2.0075045149599067,2.0168752366581004,2.0099145798298106,2.030675766666965,2.054077173022822,2.0127287039966735,2.0335051644763062
AMMC_R,2.528579846770201,2.4532849761504707,1.9330440399588233,1.9556737173052514,2.0106640021439772,2.01977255048829,2.025997505896858,2.238658702352873,2.1024373606260225,2.289806067951426,2.206543832512655,2.0932202138315765,2.10235924544185,2.0530867956878236,2.109327792681916,2.0920673078967926,2.0556401817962606,2.09596073317804,2.0905026560198645,2.1048213074615307,2.092459034982023,2.0856593954278693,2.112970501449905,2.1117682717987605,2.1015122783042752,2.100693430801083,1.7397563136929246,1.7713839912128628,2.1194854628514412,2.12683696179997,2.089158695292216,2.1021936927442275,2.056157997627571,2.0752016992174322,1.951306351813091,1.9437210637556295,1.9927598558454855,2.05720290789359,1.9720003568401798,2.0705495421966837,2.0214249716414963,2.0258475602623043,2.0320881763776284,1.6727923177544526,2.118440625820383,2.0692879895068828,2.0639589297505365,2.059099126926135,2.093593945948127,2.0875195911773834,2.0768801139174973,2.0625692267377302,2.0857401319637017,2.079278790608966,2.076921458900572,2.0917295331059367,2.098600750988598,2.0736687172082733,2.072876754622977,2.0958554237607148,2.0901909604848745,2.114113425396126,2.122794787983521,2.0775582504682695,2.0895087692235816
AOTU_L,2.441336518601424,2.3097874371150944,0.8106654663706703,1.8764788083904822,2.01977255048829,0.7882592537674149,0.8064948071631587,1.3332778084907622,0.9857662178922655,1.5338525834887198,1.4059390397930964,0.843498114680545,0.8773383230670789,0.7183468621174051,0.9147015880355399,1.5416853396396213,1.4714195405737265,1.6168577070884789,0.8809532113544302,0.8869416252086643,0.920404333079443,0.9350615250854853,1.1563636124031829,1.1649595268844681,0.8807186209115818,0.9545122183707407,1.730571662833186,1.8023605281919626,0.9863080799024295,0.9902268153527197,0.7504384199866395,0.7998980894530695,0.7555875843014271,0.8158070762496505,0.9811501263063077,1.080810814068804,1.1782590668568917,1.4120363949443713,0.9886035349603246,1.440913752613633,0.8708630320444324,0.8080238372029767,0.6488114694758057,1.446382300129223,0.7644168677401862,0.9298361524409986,0.884756891260699,1.4311907927685477,0.961773012799679,1.0014631958825166,1.624765718683482,0.8965490555374872,0.9752494635884089,0.8014631671907321,0.8695311707146366,0.8948579910804992,0.9246204571644974,0.9039101734264987,0.8942599262600817,0.950176046449083,0.9406737649779123,0.957443269592535,1.2182865839425698,1.0902604453579485,1.1302573771156466
AOTU_R,2.436930712733963,2.3059021454354363,0.8114102978977922,1.8820068462902633,2.025997505896858,0.8064948071631587,0.8297565955707009,1.3174382803103095,0.9745723744881012,1.5315203158848096,1.399590326693247,0.8263635599154275,0.8577740446182527,0.7195619886943527,0.90686753911756,1.5393246360251223,1.4696243970663485,1.6118915240180687,0.8839262031096522,0.8873146956939644,0.9037625453357052,0.9181490368621621,1.1442240112363025,1.152350587951456,0.8756864523932752,0.9520518225098137,1.7491798621186527,1.8203352076761619,0.9818706846242771,0.9813579054578844,0.7856856366040773,0.8316276945702004,0.7922539920088554,0.8510226951583845,0.9725678157082596,1.0693309974940224,1.1756769577602353,1.4080216026694328,0.9861380895010936,1.43555889927228,0.8991700632139727,0.8358472890258623,0.6703929823056997,1.469698146598935,0.7898391129855615,0.9198917819909124,0.8723264130581422,1.4237281190734816,0.975875210216638,1.0168598517401826,1.6216648548871055,0.878620609190201,0.9551617190683748,0.7848243729390401,0.8550994948323641,0.8801800551824435,0.9115228718536001,0.8923238877247915,0.8819856609174681,0.9458786089494658,0.9380698775718991,0.9486042845610836,1.206570514608995,1.086627277388074,1.1171015796263137
ATL_L,2.3806843138847147,2.2838023160657714,1.3568487492460177,2.1890424822621304,2.238658702352873,1.3332778084907622,1.3174382803103095,1.6096248798435921,1.2929570974575346,1.8042075959177148,1.6921759893254271,1.2318161713603257,1.2523938501226106,1.2630736617012934,1.278206702781523,1.7074339165513055,1.558035314093989,1.9205399283527942,1.2834434498985414,1.2822223669434942,1.2503645121321714,1.2408837440607958,1.4540365938153408,1.4524357137395068,1.2934649720757014,1.3325294691640093,1.7500146703303163,1.8292621305121173,1.3292774610883091,1.3373070671378728,1.3293163257074434,1.337692807777589,1.2965565087779942,1.3107794227196548,1.1612043472641584,1.198363457677809,1.2419337591719246,1.407690751886027,1.2360718964847792,1.4650583547363805,1.3539584655517771,1.319476991076745,1.2540225726369958,1.6529369295096799,1.337447304636298,1.2908777780441416,1.270385606791594,1.6988633238159017,1.326210953894241,1.3415373921314067,1.9690491533956345,1.248459777491524,1.2825247269877253,1.2280795123649582,1.2546673357060054,1.2551740101696331,1.2670221435292937,1.2759934838819993,1.2675133013354343,1.31670767108156,1.3001092906682095,1.3753890080065847,1.558358352068311,1.4399487894542842,1.4239068874464786
ATL_R,2.3524235245110257,2.2482849086091647,0.9702202340507197,2.0445616336734687,2.1024373606260225,0.9857662178922655,0.9745723744881012,1.2929570974575346,0.819032156654699,1.5027716287279418,1.3816979491335686,0.6889427084035171,0.6924590737068798,0.8379917595220324,0.7461293357242696,1.5446632880595121,1.3840498739881248,1.6954829908701596,0.7843744879487508,0.748091406785592,0.7366012961927897,0.7321993599061172,1.0991928481289717,1.1141574044921976,0.7967943152431843,0.8656005714519133,1.5325308260784563,1.625856475879364,0.8263047684249831,0.805893070977489,0.771171026963485,0.7753580769739156,0.8436511735841399,0.8356548365176788,0.9563367259859852,1.0469087964294008,1.0718795859998838,1.3000350381715085,0.9464228778168942,1.3529809918812645,0.9849620165373032,0.9415613681005208,0.9075663537093506,1.3758766310826465,0.7522665758764174,0.8858099395018677,0.8546251567488693,1.4504464300189948,0.8646736369494563,0.905395258243132,1.7721662299407803,0.8245340679934167,0.8568118933948962,0.7390593549198594,0.7864960703814244,0.7715479289998652,0.7525202485645244,0.8444285650596901,0.8232480284947084,0.8398200386806169,0.8192704392952208,0.8616342697008982,1.1993831838853148,1.0201312803212261,1.0635948706276483
AVLP_L,2.597825623992695,2.5007320681363168,1.4926304595516806,2.232582979434609,2.289806067951426,1.5338525834887198,1.5315203158848096,1.8042075959177148,1.5027716287279418,1.9567442761258624,1.8692970616266569,1.441994267044738,1.4517735661385798,1.4698222687931128,1.474606401190875,1.9243506499737781,1.8253377614963027,2.0419566547836743,1.4765484983081651,1.4707815528232422,1.4762566525072847,1.4730555719913352,1.6579207346430878,1.6683544996581114,1.4882511964206815,1.519513339365731,1.7797727296824208,1.8643740505936661,1.5267911370624565,1.5301301802498695,1.4522219331042932,1.4625930766299053,1.474177296738937,1.4815534848810308,1.5427213705019833,1.5937092970690736,1.621973312271196,1.7855618978153982,1.5598453114218322,1.8284512119471503,1.5405134899904904,1.5227168613658078,1.5192739703859612,1.6456003562068395,1.4580726053522401,1.5386173926022466,1.5240153298521846,1.8638943601950657,1.528280095699904,1.5475215621961407,2.077357775294373,1.5074649649442131,1.5346260728133454,1.4518856834952558,1.4741259620802232,1.4830467507404068,1.484363098452479,1.508386555975564,1.4993672168927321,1.5101762929380151,1.499294288892185,1.5329587710284007,1.7226743665767343,1.6173120627911222,1.644764689182825
